news_id,source_table,source_name,province_code,province_name,title,publish_date,year,month,avg_stay_days,bed_count,bed_usage_rate,discharge_cost,discharge_count,doctor_count,nurse_count,outpatient_cost,outpatient_visits
123,guangxi_news,省级卫健委,GX,广西,2017年1月医疗服务信息发布指标表,2017-02-27,2017,1,7.14,220664.0,70.0,5453.68,643775.0,72791.0,112077.0,138.17,16516069.0
124,guangxi_news,省级卫健委,GX,广西,2016年11月医疗服务信息发布指标表,2016-12-23,2016,11,7.33,221416.0,81.07,5609.32,711227.0,71993.0,110180.0,139.45,19146063.0
125,guangxi_news,省级卫健委,GX,广西,2016年10月医疗服务信息发布指标表,2016-11-23,2016,10,7.12,221056.0,80.32,5249.05,722135.0,71906.0,109655.0,135.0,19556581.0
126,guangxi_news,省级卫健委,GX,广西,2016年9月医疗服务信息发布指标表,2016-10-24,2016,9,7.41,220259.0,77.83,5540.16,681146.0,71704.0,108795.0,135.55,19230644.0
127,guangxi_news,省级卫健委,GX,广西,2016年8月医疗服务信息发布指标表,2016-09-26,2016,8,7.42,219553.0,79.25,5563.87,702471.0,71364.0,107773.0,140.99,19217428.0
128,guangxi_news,省级卫健委,GX,广西,2016年7月医疗服务信息发布指标表,2016-09-07,2016,7,7.35,219383.0,82.02,5340.1,722008.0,71353.0,107284.0,137.87,19142479.0
129,guangxi_news,省级卫健委,GX,广西,2016年6月医疗服务信息发布指标表,2016-07-29,2016,6,7.34,218448.0,83.49,5282.74,730071.0,70123.0,105734.0,132.89,19150633.0
130,guangxi_news,省级卫健委,GX,广西,2016年5月份医疗服务信息发布指标,2016-07-06,2016,5,7.19,217789.0,86.84,5182.04,776933.0,69952.0,105635.0,129.12,20455323.0
131,guangxi_news,省级卫健委,GX,广西,2016年4月份医疗服务信息发布指标表,2016-06-12,2016,4,7.06,216617.0,86.57,5127.47,753968.0,69839.0,105607.0,129.01,19865222.0
132,guangxi_news,省级卫健委,GX,广西,2016年3月份医疗服务信息发布指标表,2016-05-10,2016,3,7.3,215003.0,85.63,5379.61,741855.0,69597.0,105087.0,131.48,20145791.0
133,guangxi_news,省级卫健委,GX,广西,2016年2月份医疗服务信息发布指标,2016-03-29,2016,2,6.74,214462.0,70.35,5085.46,603246.0,69487.0,104862.0,131.21,16528231.0
134,guangxi_news,省级卫健委,GX,广西,2016年1月份医疗服务信息发布指标表,2016-03-08,2016,1,7.31,214005.0,77.62,5252.6,634711.0,69611.0,105038.0,132.9,17151659.0
135,guangxi_news,省级卫健委,GX,广西,2015年11月份医疗服务信息发布指标表,2015-12-31,2015,11,7.36,210583.0,81.99,5121.09,677573.0,66604.0,100233.0,132.64,13301467.0
136,guangxi_news,省级卫健委,GX,广西,2015年10月份医疗服务信息发布指标表,2015-12-16,2015,10,,208704.0,84.0,5013.48,668909.0,66089.0,98778.0,128.12,190.0
137,guangxi_news,省级卫健委,GX,广西,2015年9月份医疗服务信息发布指标表,2015-10-27,2015,9,7.47,208247.0,79.11,5064.81,652166.0,65873.0,98276.0,132.0,19312667.0
138,guangxi_news,省级卫健委,GX,广西,2015年8月份医疗服务信息发布指标表,2015-10-27,2015,8,7.5,207887.0,79.26,5104.0,660911.0,65447.0,97317.0,134.43,19056400.0
139,guangxi_news,省级卫健委,GX,广西,2015年7月份医疗服务信息发布指标表,2015-09-08,2015,7,7.0,209163.0,86.43,4954.88,753772.0,86679.0,20323561.0,129.98,20323561.0
140,guangxi_news,省级卫健委,GX,广西,2015年6月份医疗服务信息发布指标表,2015-07-31,2015,6,7.18,209078.0,90.35,4687.09,783220.0,64591.0,96660.0,116.0,22743340.0
141,guangxi_news,省级卫健委,GX,广西,2015年5月份医疗服务信息发布指标表,2015-06-30,2015,5,7.47,206161.0,87.86,4814.0,723809.0,64161.0,96281.0,122.0,20620329.0
142,guangxi_news,省级卫健委,GX,广西,2015年4月份医疗服务信息发布指标表,2015-06-08,2015,4,7.25,204707.0,86.0,4797.62,706836.0,64080.0,96206.0,123.96,19005257.0
143,guangxi_news,省级卫健委,GX,广西,2015年3月份医疗服务信息发布指标表,2015-06-08,2015,3,7.0,203527.0,696.8,5063.0,680113.0,64054.0,96112.0,128.42,18404411.0
144,guangxi_news,省级卫健委,GX,广西,2015年2月份医疗服务信息发布指标表,2015-03-26,2015,2,7.15,201112.0,660.4,4862.43,571028.0,63994.0,95676.0,125.0,15202876.0
145,guangxi_news,省级卫健委,GX,广西,2015年1月份医疗服务信息发布指标表,2015-03-26,2015,1,7.34,194697.0,80.92,4966.0,581870.0,61346.0,91495.0,123.0,15921771.0
146,guangxi_news,省级卫健委,GX,广西,2024年广西卫生健康事业发展统计公报,2025-12-02,2024,,2024.0,2024.0,202.4,2024.0,2024.0,,,2024.0,2024.0
147,guangxi_news,省级卫健委,GX,广西,2023年广西卫生健康事业发展统计公报,2024-12-31,2023,,2023.0,2023.0,202.3,2023.0,2023.0,,,2023.0,2023.0
148,guangxi_news,省级卫健委,GX,广西,2022年广西卫生健康事业发展统计公报,2023-10-16,2022,,2022.0,2022.0,202.2,2022.0,2022.0,,,2022.0,2022.0
149,guangxi_news,省级卫健委,GX,广西,2021年广西卫生健康事业发展统计公报,2022-09-06,2021,,2019.0,2019.0,202.1,,2019.0,,,,2021.0
150,guangxi_news,省级卫健委,GX,广西,2020年自治区卫生健康事业发展统计公报,2021-11-22,2020,,2018.0,2018.0,202.0,,2018.0,,,,2020.0
151,guangxi_news,省级卫健委,GX,广西,2019年广西卫生健康事业发展情况简报,2020-10-15,2019,,2019.0,2017.0,201.9,,2017.0,,2019.0,,2019.0
155,guangxi_news,省级卫健委,GX,广西,2018年广西卫生健康事业发展情况简报,2019-10-14,2018,,8.7,2016.0,87.61,,2016.0,,2.85,,2.56
156,guangxi_news,省级卫健委,GX,广西,2017年广西卫生和计划生育事业发展情况简报,2018-05-21,2017,,8.6,2016.0,87.9,,2016.0,,2.0,,2.0
157,guangxi_news,省级卫健委,GX,广西,2016年广西卫生和计划生育事业发展情况简报,2017-09-29,2016,,2016.0,2016.0,201.6,,2016.0,,2016.0,2010.0,2016.0
